name,slide_mean,slide_std,patient_mean,patient_std,n_folds
WSI_MeanMIL_UNI_p4000_bsFull_original_None,0.6525045081154466,0.05779443900298101,0.6525045081154466,0.05779443900298101,5
Fusion_Smart_MeanMIL_Midnight_p1000_bs32_binary_one_hot,0.6575923630828572,0.06372593068493486,0.6575923630828572,0.06372593068493486,5
Fusion_Smart_TransMIL_Midnight_p1000_bsFull_binary_one_hot,0.6642294027824286,0.05964563168209392,0.6642294027824286,0.05964563168209392,5
Fusion_Naive_TransMIL_Virchow_p1000_bs32_binary_label_enc,0.6466323312851168,0.05256339396600125,0.6466323312851168,0.05256339396600125,5
Fusion_Naive_ABMIL_Virchow_p100_bsFull_binary_label_enc,0.6467400668010399,0.04720572796412159,0.6467400668010399,0.04720572796412159,5
Fusion_Smart_TransMIL_UNI_p1000_bsFull_binary_label_enc,0.6651879076112084,0.037996815636346104,0.6651879076112084,0.037996815636346104,5
Fusion_Smart_ABMIL_Virchow_p100_bsFull_binary_one_hot,0.6525027607382642,0.047628791305824855,0.6525027607382642,0.047628791305824855,5
Fusion_Smart_TransMIL_UNI_p100_bs32_original_one_hot,0.6695311150167436,0.042467028927625314,0.6695311150167436,0.042467028927625314,5
WSI_MeanMIL_UNI_p1000_bs32_original_None,0.6539146827292496,0.04649671388955714,0.6539146827292496,0.04649671388955714,5
EarlyEnsemble_Fusion_Naive_MeanMIL_VirchowMidnight_p100_bsFull_original_label_enc,0.6561529884575654,0.055347444086850224,0.6561529884575654,0.055347444086850224,5
Fusion_Naive_MeanMIL_UNI_p100_bs32_binary_label_enc,0.6621556403720048,0.042292279792692046,0.6621556403720048,0.042292279792692046,5
WSI_ABMIL_Virchow_p4000_bs32_binary_None,0.6385286946463005,0.03819214037965853,0.6385286946463005,0.03819214037965853,5
Fusion_Naive_TransMIL_Midnight_p4000_bsFull_original_label_enc,0.634238057609813,0.06496520983133897,0.634238057609813,0.06496520983133897,5
WSI_MeanMIL_Midnight_p4000_bsFull_binary_None,0.6465177719295736,0.06844457662951374,0.6465177719295736,0.06844457662951374,5
Fusion_Naive_MeanMIL_Midnight_p1000_bs32_binary_label_enc,0.6371080005360718,0.0727875297995692,0.6371080005360718,0.0727875297995692,5
WSI_MeanMIL_Midnight_p100_bsFull_binary_None,0.6466835685740095,0.07019346031430146,0.6466835685740095,0.07019346031430146,5
Fusion_Naive_TransMIL_Virchow_p100_bsFull_binary_label_enc,0.6585738686732713,0.048505566835041196,0.6585738686732713,0.048505566835041196,5
WSI_TransMIL_Virchow_p4000_bs32_original_None,0.6451097908959639,0.04586442320189703,0.6451097908959639,0.04586442320189703,5
